# Forces      
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
# Time        forces(pressure viscous porous)	moments(pressure viscous porous)
0.06          	((5.982027e+02 9.380696e+01 -3.828668e-20) (3.848177e+00 -2.522926e+00 4.802057e-23) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-2.873035e-22 2.237714e-21 7.736330e-01) (6.808391e-24 -1.011227e-23 -1.998644e-01) (0.000000e+00 0.000000e+00 0.000000e+00))
0.0625        	((6.123582e+02 1.036867e+02 -3.845102e-20) (3.825319e+00 -2.576332e+00 7.382808e-22) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-2.899928e-22 2.246738e-21 6.572602e-01) (6.914193e-24 -4.345002e-23 -2.035812e-01) (0.000000e+00 0.000000e+00 0.000000e+00))
0.065         	((6.134431e+02 1.086356e+02 -3.851984e-20) (3.806503e+00 -2.614916e+00 1.009992e-21) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-2.928545e-22 2.251580e-21 5.769333e-01) (6.972270e-24 -5.598951e-23 -2.073187e-01) (0.000000e+00 0.000000e+00 0.000000e+00))
0.0675        	((6.215673e+02 1.017303e+02 -3.852895e-20) (3.796856e+00 -2.668755e+00 7.778797e-22) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-2.948352e-22 2.252067e-21 4.356164e-01) (7.050768e-24 -4.456087e-23 -2.110591e-01) (0.000000e+00 0.000000e+00 0.000000e+00))
0.07          	((6.284284e+02 1.026847e+02 -3.868929e-20) (3.782690e+00 -2.714308e+00 7.218782e-22) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-2.984267e-22 2.261407e-21 3.636613e-01) (7.150146e-24 -4.216767e-23 -2.147404e-01) (0.000000e+00 0.000000e+00 0.000000e+00))
0.0725        	((6.257729e+02 9.033747e+01 -3.871206e-20) (3.763242e+00 -2.749152e+00 7.220567e-22) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-3.012420e-22 2.263585e-21 2.773371e-01) (7.223666e-24 -4.277547e-23 -2.183581e-01) (0.000000e+00 0.000000e+00 0.000000e+00))
0.075         	((6.354880e+02 1.105624e+02 -3.835160e-20) (3.800056e+00 -2.795176e+00 6.705974e-22) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-3.002805e-22 2.242179e-21 2.457314e-01) (7.170807e-24 -4.156433e-23 -2.218414e-01) (0.000000e+00 0.000000e+00 0.000000e+00))
0.0775        	((6.399889e+02 1.045154e+02 -3.825420e-20) (3.773682e+00 -2.849105e+00 7.985413e-22) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-3.018583e-22 2.236435e-21 1.275692e-01) (7.224825e-24 -4.748772e-23 -2.252615e-01) (0.000000e+00 0.000000e+00 0.000000e+00))
0.08          	((6.437139e+02 1.012544e+02 -3.819213e-20) (3.760292e+00 -2.879220e+00 6.669460e-22) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-3.043234e-22 2.232712e-21 8.360866e-02) (7.291531e-24 -4.049404e-23 -2.286015e-01) (0.000000e+00 0.000000e+00 0.000000e+00))
0.0825        	((6.528035e+02 1.044758e+02 -3.788654e-20) (3.769594e+00 -2.933378e+00 7.186542e-22) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-3.043233e-22 2.214140e-21 -5.478196e-02) (7.334134e-24 -4.259925e-23 -2.316158e-01) (0.000000e+00 0.000000e+00 0.000000e+00))
0.085         	((6.437919e+02 8.669876e+01 -3.753039e-20) (3.693093e+00 -2.956713e+00 7.590068e-22) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-3.041038e-22 2.194226e-21 -1.360955e-01) (7.290163e-24 -4.277796e-23 -2.344066e-01) (0.000000e+00 0.000000e+00 0.000000e+00))
0.0875        	((6.542236e+02 1.007759e+02 -3.717993e-20) (3.732308e+00 -2.993222e+00 7.116777e-22) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-3.039741e-22 2.172622e-21 -1.820154e-01) (7.325360e-24 -4.101464e-23 -2.370924e-01) (0.000000e+00 0.000000e+00 0.000000e+00))
0.09          	((6.479677e+02 8.689487e+01 -3.676494e-20) (3.662923e+00 -3.027164e+00 9.603641e-22) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-3.031654e-22 2.148812e-21 -2.814648e-01) (7.293775e-24 -5.230734e-23 -2.395135e-01) (0.000000e+00 0.000000e+00 0.000000e+00))
0.0925        	((6.555903e+02 9.254525e+01 -3.641010e-20) (3.660784e+00 -3.061025e+00 7.802005e-22) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-3.028449e-22 2.127032e-21 -3.397290e-01) (7.331248e-24 -4.127551e-23 -2.420436e-01) (0.000000e+00 0.000000e+00 0.000000e+00))
0.095         	((6.618112e+02 1.028682e+02 -3.594483e-20) (3.632411e+00 -3.095586e+00 8.095936e-22) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-3.012195e-22 2.098954e-21 -3.938739e-01) (7.323599e-24 -4.291925e-23 -2.443595e-01) (0.000000e+00 0.000000e+00 0.000000e+00))
