# Forces      
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
# Time        forces(pressure viscous porous)	moments(pressure viscous porous)
0.004         	((6.774558e+02 -3.938603e+01 -1.342571e-20) (2.166456e+00 1.596638e-01 4.275903e-22) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-8.060461e-23 7.290125e-22 -4.321597e+00) (1.630664e-24 -2.246778e-23 -3.976093e-03) (0.000000e+00 0.000000e+00 0.000000e+00))
0.005         	((6.692675e+02 -4.888190e+01 -1.251422e-20) (2.433115e+00 1.740018e-01 2.284184e-22) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-7.421151e-23 6.757469e-22 -4.800575e+00) (1.050053e-24 -1.234399e-23 -5.022361e-03) (0.000000e+00 0.000000e+00 0.000000e+00))
0.0075        	((6.545805e+02 -6.771697e+01 -1.105337e-20) (2.851218e+00 1.688983e-01 -1.632398e-22) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-6.354428e-23 5.908468e-22 -5.717973e+00) (-9.721961e-25 8.669185e-24 -8.268450e-03) (0.000000e+00 0.000000e+00 0.000000e+00))
0.01          	((6.546904e+02 -6.627404e+01 -1.200841e-20) (3.658847e+00 1.541954e-01 -1.949154e-22) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-6.765216e-23 6.476300e-22 -5.754353e+00) (-4.950029e-25 9.334512e-24 -1.514496e-02) (0.000000e+00 0.000000e+00 0.000000e+00))
0.0125        	((6.637593e+02 -5.252634e+01 -1.481482e-20) (4.668504e+00 1.003078e-01 -1.109345e-22) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-8.337483e-23 8.142396e-22 -4.909540e+00) (5.643398e-25 3.745750e-24 -2.594293e-02) (0.000000e+00 0.000000e+00 0.000000e+00))
0.015         	((6.734218e+02 -2.781444e+01 -1.869136e-20) (5.558936e+00 -8.935880e-02 -2.946041e-22) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.025947e-22 1.047400e-21 -3.582049e+00) (1.779457e-24 1.159386e-23 -4.367322e-02) (0.000000e+00 0.000000e+00 0.000000e+00))
0.0175        	((6.848602e+02 9.238274e+00 -2.307846e-20) (6.251663e+00 -3.825248e-01 4.814904e-22) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.259652e-22 1.310820e-21 -2.015933e+00) (2.726958e-24 -2.741657e-23 -6.637507e-02) (0.000000e+00 0.000000e+00 0.000000e+00))
0.02          	((7.068929e+02 4.057856e+01 -2.933875e-20) (6.765903e+00 -7.595494e-01 2.978566e-22) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.587853e-22 1.684927e-21 -3.278169e-01) (3.280421e-24 -1.975997e-23 -9.306451e-02) (0.000000e+00 0.000000e+00 0.000000e+00))
0.0225        	((7.268983e+02 7.778449e+01 -3.445072e-20) (7.180752e+00 -1.195602e+00 -8.565032e-23) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.968100e-22 1.988161e-21 1.433047e+00) (4.075504e-24 -2.301069e-24 -1.229701e-01) (0.000000e+00 0.000000e+00 0.000000e+00))
0.025         	((7.509866e+02 1.154224e+02 -3.890984e-20) (7.467102e+00 -1.635710e+00 4.569936e-22) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-2.423187e-22 2.251063e-21 2.946712e+00) (4.704019e-24 -2.905216e-23 -1.522445e-01) (0.000000e+00 0.000000e+00 0.000000e+00))
