# Forces      
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
# Time        forces(pressure viscous porous)	moments(pressure viscous porous)
0             	((0.000000e+00 0.000000e+00 0.000000e+00) (3.318946e+00 -2.661220e-02 1.371910e-23) (0.000000e+00 0.000000e+00 0.000000e+00)) ((0.000000e+00 0.000000e+00 0.000000e+00) (1.024626e-25 -7.951411e-25 -1.562379e-02) (0.000000e+00 0.000000e+00 0.000000e+00))
0.0025        	((4.950734e+02 -1.586320e+01 -1.227962e-20) (1.600987e+00 1.190465e-01 2.975666e-22) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-7.870514e-23 6.794907e-22 -2.397101e+00) (1.702448e-24 -1.659745e-23 -2.323585e-03) (0.000000e+00 0.000000e+00 0.000000e+00))
0.005         	((4.731851e+02 -3.465366e+01 -9.916231e-21) (2.011631e+00 1.460779e-01 2.691286e-22) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-6.199151e-23 5.413212e-22 -3.304342e+00) (1.080767e-24 -1.427442e-23 -3.631827e-03) (0.000000e+00 0.000000e+00 0.000000e+00))
0.0075        	((4.618358e+02 -4.740677e+01 -8.344339e-21) (2.185191e+00 1.318102e-01 -1.000184e-22) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-5.084730e-23 4.494175e-22 -4.048431e+00) (-1.020667e-24 5.716770e-24 -5.611459e-03) (0.000000e+00 0.000000e+00 0.000000e+00))
0.01          	((4.594577e+02 -5.123232e+01 -8.210796e-21) (2.634911e+00 1.289926e-01 -1.553042e-22) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-4.806893e-23 4.421868e-22 -4.263589e+00) (-6.804077e-25 7.662377e-24 -9.240015e-03) (0.000000e+00 0.000000e+00 0.000000e+00))
0.0125        	((4.651080e+02 -4.520338e+01 -9.253550e-21) (3.293204e+00 1.218676e-01 -2.183837e-22) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-5.333271e-23 5.037591e-22 -3.910429e+00) (7.615349e-26 9.731322e-24 -1.468070e-02) (0.000000e+00 0.000000e+00 0.000000e+00))
0.015         	((4.716578e+02 -3.028379e+01 -1.114499e-20) (3.920310e+00 6.680747e-02 -1.678979e-22) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-6.359041e-23 6.163471e-22 -3.160066e+00) (9.530563e-25 6.449157e-24 -2.252202e-02) (0.000000e+00 0.000000e+00 0.000000e+00))
0.0175        	((4.762519e+02 -7.747961e+00 -1.399970e-20) (4.457139e+00 -7.097358e-02 1.904579e-22) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-7.797281e-23 7.880836e-22 -2.174328e+00) (1.893968e-24 -1.161890e-23 -3.459250e-02) (0.000000e+00 0.000000e+00 0.000000e+00))
0.02          	((4.867347e+02 7.475801e+00 -1.747480e-20) (4.877480e+00 -2.747323e-01 -5.401311e-22) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-9.707117e-23 9.956918e-22 -1.093157e+00) (2.436363e-24 2.253883e-23 -4.997723e-02) (0.000000e+00 0.000000e+00 0.000000e+00))
0.0225        	((4.951905e+02 3.475433e+01 -2.203285e-20) (5.228261e+00 -5.309970e-01 -7.307883e-22) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.219405e-22 1.267817e-21 1.484334e-01) (3.026389e-24 3.032127e-23 -6.808128e-02) (0.000000e+00 0.000000e+00 0.000000e+00))
