# Forces      
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
# Time        forces(pressure viscous porous)	moments(pressure viscous porous)
0             	((0.000000e+00 0.000000e+00 0.000000e+00) (2.325115e-02 1.148894e-18 2.489319e-28) (0.000000e+00 0.000000e+00 0.000000e+00)) ((0.000000e+00 0.000000e+00 0.000000e+00) (-1.605036e-26 -3.850728e-25 3.751827e-19) (0.000000e+00 0.000000e+00 0.000000e+00))
0.25          	((4.821885e-01 -5.283345e-04 -3.179200e-22) (3.222601e-02 -7.092336e-07 -6.031745e-27) (0.000000e+00 0.000000e+00 0.000000e+00)) ((2.293377e-23 3.944061e-23 1.097775e-03) (-3.139548e-26 -6.643090e-25 1.518511e-06) (0.000000e+00 0.000000e+00 0.000000e+00))
0.5           	((3.181174e-01 1.120487e-03 -3.141491e-22) (2.842284e-02 3.967419e-06 6.007317e-25) (0.000000e+00 0.000000e+00 0.000000e+00)) ((1.249529e-23 8.201037e-24 1.388570e-04) (-5.473885e-26 -8.808750e-25 4.060712e-06) (0.000000e+00 0.000000e+00 0.000000e+00))
0.75          	((2.505293e-01 -2.509401e-04 -3.012180e-22) (2.566919e-02 6.465447e-06 6.947902e-25) (0.000000e+00 0.000000e+00 0.000000e+00)) ((7.903508e-24 -1.646125e-23 -9.431264e-04) (-5.386016e-26 -1.142255e-24 4.198375e-06) (0.000000e+00 0.000000e+00 0.000000e+00))
1             	((2.123494e-01 -3.399921e-03 -2.837560e-22) (2.404788e-02 6.842881e-06 8.724078e-25) (0.000000e+00 0.000000e+00 0.000000e+00)) ((5.795653e-24 -3.848799e-23 -1.998409e-03) (-8.036710e-26 -1.322425e-24 3.186079e-06) (0.000000e+00 0.000000e+00 0.000000e+00))
1.25          	((1.836299e-01 -4.818727e-03 -2.693993e-22) (2.327954e-02 4.176294e-06 1.356110e-24) (0.000000e+00 0.000000e+00 0.000000e+00)) ((4.635365e-24 -5.605853e-23 -2.422744e-03) (-8.807135e-26 -1.640058e-24 1.302237e-06) (0.000000e+00 0.000000e+00 0.000000e+00))
1.5           	((1.579589e-01 -1.768812e-04 -2.609089e-22) (2.295234e-02 1.387938e-06 1.597034e-25) (0.000000e+00 0.000000e+00 0.000000e+00)) ((3.500295e-24 -6.832268e-23 -1.377727e-03) (-9.535007e-26 -1.109118e-24 -1.036721e-06) (0.000000e+00 0.000000e+00 0.000000e+00))
1.75          	((1.390453e-01 1.498812e-03 -2.570360e-22) (2.284516e-02 2.268014e-06 -2.602344e-25) (0.000000e+00 0.000000e+00 0.000000e+00)) ((2.603687e-24 -7.600505e-23 -5.540210e-04) (-9.147143e-26 -9.375204e-25 -1.345181e-06) (0.000000e+00 0.000000e+00 0.000000e+00))
2             	((1.269786e-01 2.141102e-04 -2.543888e-22) (2.286650e-02 1.337011e-06 -5.715922e-25) (0.000000e+00 0.000000e+00 0.000000e+00)) ((2.030146e-24 -8.099980e-23 -4.374792e-04) (-1.137609e-25 -8.066589e-25 -1.317729e-06) (0.000000e+00 0.000000e+00 0.000000e+00))
2.25          	((1.210310e-01 1.896358e-04 -2.531515e-22) (2.297035e-02 1.099197e-06 -7.774294e-25) (0.000000e+00 0.000000e+00 0.000000e+00)) ((1.746114e-24 -8.386761e-23 -2.097338e-04) (-1.314366e-25 -7.188945e-25 -1.026381e-06) (0.000000e+00 0.000000e+00 0.000000e+00))
