# Forces      
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
# Time        forces(pressure viscous porous)	moments(pressure viscous porous)
5             	((1.264759e-01 3.461547e-04 -2.614835e-22) (2.379728e-02 3.443990e-07 -9.505020e-25) (0.000000e+00 0.000000e+00 0.000000e+00)) ((1.994872e-24 -8.476828e-23 -7.190909e-05) (-1.515101e-25 -6.469068e-25 -1.732979e-07) (0.000000e+00 0.000000e+00 0.000000e+00))
5.25          	((1.262541e-01 2.740089e-04 -2.611687e-22) (2.379658e-02 3.042379e-07 -9.520192e-25) (0.000000e+00 0.000000e+00 0.000000e+00)) ((1.983082e-24 -8.484939e-23 -6.469953e-05) (-1.513237e-25 -6.469247e-25 -1.354975e-07) (0.000000e+00 0.000000e+00 0.000000e+00))
5.5           	((1.260521e-01 2.141761e-04 -2.608410e-22) (2.379307e-02 2.698377e-07 -9.527759e-25) (0.000000e+00 0.000000e+00 0.000000e+00)) ((1.972717e-24 -8.491251e-23 -5.813740e-05) (-1.512805e-25 -6.466708e-25 -1.054173e-07) (0.000000e+00 0.000000e+00 0.000000e+00))
5.75          	((1.258777e-01 1.783712e-04 -2.605130e-22) (2.378795e-02 2.397897e-07 -9.533603e-25) (0.000000e+00 0.000000e+00 0.000000e+00)) ((1.964048e-24 -8.495834e-23 -5.288516e-05) (-1.512298e-25 -6.464242e-25 -8.194367e-08) (0.000000e+00 0.000000e+00 0.000000e+00))
6             	((1.257296e-01 1.413469e-04 -2.601918e-22) (2.378195e-02 2.128420e-07 -9.537928e-25) (0.000000e+00 0.000000e+00 0.000000e+00)) ((1.956971e-24 -8.498888e-23 -4.793337e-05) (-1.511766e-25 -6.461895e-25 -6.380570e-08) (0.000000e+00 0.000000e+00 0.000000e+00))
6.25          	((1.256046e-01 1.160244e-04 -2.598849e-22) (2.377551e-02 1.880025e-07 -9.541017e-25) (0.000000e+00 0.000000e+00 0.000000e+00)) ((1.951248e-24 -8.500733e-23 -4.347065e-05) (-1.511232e-25 -6.459680e-25 -4.968342e-08) (0.000000e+00 0.000000e+00 0.000000e+00))
6.5           	((1.254989e-01 9.326374e-05 -2.595946e-22) (2.376891e-02 1.646528e-07 -9.543145e-25) (0.000000e+00 0.000000e+00 0.000000e+00)) ((1.946643e-24 -8.501630e-23 -3.905559e-05) (-1.510707e-25 -6.457595e-25 -3.847705e-08) (0.000000e+00 0.000000e+00 0.000000e+00))
6.75          	((1.254093e-01 7.302814e-05 -2.593241e-22) (2.376233e-02 1.425472e-07 -9.544551e-25) (0.000000e+00 0.000000e+00 0.000000e+00)) ((1.942942e-24 -8.501818e-23 -3.462524e-05) (-1.510197e-25 -6.455637e-25 -2.938246e-08) (0.000000e+00 0.000000e+00 0.000000e+00))
7             	((1.253334e-01 5.503655e-05 -2.590760e-22) (2.375591e-02 1.216813e-07 -9.545423e-25) (0.000000e+00 0.000000e+00 0.000000e+00)) ((1.939985e-24 -8.501486e-23 -3.018715e-05) (-1.509707e-25 -6.453807e-25 -2.186722e-08) (0.000000e+00 0.000000e+00 0.000000e+00))
7.25          	((1.252695e-01 4.041225e-05 -2.588523e-22) (2.374977e-02 1.021806e-07 -9.545905e-25) (0.000000e+00 0.000000e+00 0.000000e+00)) ((1.937655e-24 -8.500780e-23 -2.582464e-05) (-1.509243e-25 -6.452111e-25 -1.561146e-08) (0.000000e+00 0.000000e+00 0.000000e+00))
