# Forces      
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
# Time        forces(pressure viscous porous)	moments(pressure viscous porous)
0             	((0.000000e+00 0.000000e+00 0.000000e+00) (-6.721010e+01 1.861203e-13 -7.652362e-19) (0.000000e+00 0.000000e+00 0.000000e+00)) ((0.000000e+00 0.000000e+00 0.000000e+00) (-1.069474e-21 3.443349e-19 8.792309e-14) (0.000000e+00 0.000000e+00 0.000000e+00))
0.00625       	((1.412691e+00 -1.717702e-03 1.008796e-21) (2.258739e-01 -1.254028e-06 3.432977e-18) (0.000000e+00 0.000000e+00 0.000000e+00)) ((4.314371e-23 -3.525859e-23 -1.706439e-03) (-1.772068e-20 -1.544843e-18 3.021426e-06) (0.000000e+00 0.000000e+00 0.000000e+00))
0.0125        	((1.185530e+00 -9.170730e-05 7.606891e-22) (2.190891e-01 2.133568e-08 3.432960e-18) (0.000000e+00 0.000000e+00 0.000000e+00)) ((3.468173e-23 -1.098528e-23 -1.620456e-03) (-1.772011e-20 -1.544834e-18 -1.036821e-06) (0.000000e+00 0.000000e+00 0.000000e+00))
0.01875       	((8.582133e-01 -3.430737e-04 6.536890e-22) (2.173465e-01 8.944768e-06 3.432962e-18) (0.000000e+00 0.000000e+00 0.000000e+00)) ((3.330326e-23 9.588486e-24 -1.748252e-03) (-1.772017e-20 -1.544835e-18 1.393534e-06) (0.000000e+00 0.000000e+00 0.000000e+00))
0.025         	((5.942238e-01 -1.994836e-03 5.492205e-22) (2.170238e-01 1.383781e-05 3.432967e-18) (0.000000e+00 0.000000e+00 0.000000e+00)) ((3.034394e-23 4.738838e-23 -1.812660e-03) (-1.772025e-20 -1.544838e-18 2.368285e-06) (0.000000e+00 0.000000e+00 0.000000e+00))
0.03125       	((4.021080e-01 -4.935258e-03 4.687914e-22) (2.175428e-01 1.815005e-05 3.432971e-18) (0.000000e+00 0.000000e+00 0.000000e+00)) ((2.503855e-23 8.458464e-23 -1.923756e-03) (-1.772028e-20 -1.544840e-18 4.821999e-06) (0.000000e+00 0.000000e+00 0.000000e+00))
0.0375        	((2.533177e-01 -6.771837e-03 4.147603e-22) (2.180693e-01 2.479518e-05 3.432970e-18) (0.000000e+00 0.000000e+00 0.000000e+00)) ((1.868938e-23 1.120345e-22 -1.942372e-03) (-1.772030e-20 -1.544840e-18 1.006962e-05) (0.000000e+00 0.000000e+00 0.000000e+00))
0.04375       	((1.423211e-01 -7.546981e-03 3.750001e-22) (2.180733e-01 4.511271e-05 3.432972e-18) (0.000000e+00 0.000000e+00 0.000000e+00)) ((1.233805e-23 1.320664e-22 -1.857985e-03) (-1.772034e-20 -1.544841e-18 2.251683e-05) (0.000000e+00 0.000000e+00 0.000000e+00))
0.05          	((6.450736e-02 -7.601984e-03 3.590928e-22) (2.178800e-01 2.555537e-05 3.432972e-18) (0.000000e+00 0.000000e+00 0.000000e+00)) ((7.219710e-24 1.389867e-22 -1.728900e-03) (-1.772038e-20 -1.544840e-18 1.395371e-05) (0.000000e+00 0.000000e+00 0.000000e+00))
0.05625       	((4.306669e-03 -6.480763e-03 3.495323e-22) (2.177655e-01 1.660944e-05 3.432971e-18) (0.000000e+00 0.000000e+00 0.000000e+00)) ((3.238492e-24 1.414423e-22 -1.343534e-03) (-1.772033e-20 -1.544840e-18 1.012823e-05) (0.000000e+00 0.000000e+00 0.000000e+00))
0.0625        	((-3.685228e-02 -6.547865e-03 3.420283e-22) (2.177610e-01 1.100942e-05 3.432973e-18) (0.000000e+00 0.000000e+00 0.000000e+00)) ((1.031967e-24 1.421597e-22 -1.256269e-03) (-1.772036e-20 -1.544841e-18 7.842879e-06) (0.000000e+00 0.000000e+00 0.000000e+00))
0.06875       	((-6.647743e-02 -6.676982e-03 3.356214e-22) (2.178097e-01 5.924875e-06 3.432973e-18) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-5.549111e-25 1.423325e-22 -1.189897e-03) (-1.772038e-20 -1.544841e-18 5.773447e-06) (0.000000e+00 0.000000e+00 0.000000e+00))
0.075         	((-9.038182e-02 -7.148152e-03 3.303340e-22) (2.178224e-01 3.020278e-06 3.432972e-18) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-2.106002e-24 1.424921e-22 -1.223122e-03) (-1.772035e-20 -1.544840e-18 4.916003e-06) (0.000000e+00 0.000000e+00 0.000000e+00))
0.08125       	((-1.106397e-01 -7.281437e-03 3.265899e-22) (2.177408e-01 8.792126e-07 3.432973e-18) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-3.529218e-24 1.424076e-22 -1.165806e-03) (-1.772034e-20 -1.544841e-18 4.363465e-06) (0.000000e+00 0.000000e+00 0.000000e+00))
0.0875        	((-1.262823e-01 -6.594331e-03 3.244119e-22) (2.175883e-01 -8.963623e-07 3.432973e-18) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-4.673007e-24 1.420398e-22 -9.001144e-04) (-1.772033e-20 -1.544841e-18 3.696635e-06) (0.000000e+00 0.000000e+00 0.000000e+00))
