# Forces      
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
# Time        forces(pressure viscous porous)	moments(pressure viscous porous)
9.5           	((1.285922e-01 6.640761e-05 3.388963e-22) (3.639982e-02 -2.845438e-07 -1.336549e-24) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.768172e-23 1.658383e-22 5.308134e-05) (-7.490104e-26 -1.212293e-24 1.896926e-07) (0.000000e+00 0.000000e+00 0.000000e+00))
9.75          	((1.285666e-01 -1.729668e-04 3.388176e-22) (3.640002e-02 -4.779502e-07 -1.340580e-24) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.768445e-23 1.658616e-22 -3.684361e-06) (-7.486767e-26 -1.210255e-24 1.119506e-07) (0.000000e+00 0.000000e+00 0.000000e+00))
10            	((1.285465e-01 3.752823e-05 3.388759e-22) (3.640027e-02 -1.184947e-07 -1.339811e-24) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.768682e-23 1.658097e-22 3.972065e-05) (-7.481745e-26 -1.210760e-24 2.086759e-07) (0.000000e+00 0.000000e+00 0.000000e+00))
10.25         	((1.285299e-01 7.166137e-05 3.388315e-22) (3.640048e-02 -1.500050e-07 -1.339088e-24) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.768858e-23 1.658108e-22 2.871275e-05) (-7.480738e-26 -1.211120e-24 1.231415e-07) (0.000000e+00 0.000000e+00 0.000000e+00))
10.5          	((1.285148e-01 -2.974141e-05 3.387921e-22) (3.640062e-02 -2.344517e-07 -1.340860e-24) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.769010e-23 1.658212e-22 2.093436e-06) (-7.478886e-26 -1.210222e-24 7.917088e-08) (0.000000e+00 0.000000e+00 0.000000e+00))
10.75         	((1.285024e-01 5.731471e-05 3.388156e-22) (3.640073e-02 -7.630635e-08 -1.340682e-24) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.769139e-23 1.657995e-22 1.920905e-05) (-7.476245e-26 -1.210367e-24 1.171035e-07) (0.000000e+00 0.000000e+00 0.000000e+00))
11            	((1.284921e-01 7.814185e-05 3.387980e-22) (3.640079e-02 -7.798625e-08 -1.340396e-24) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.769233e-23 1.657993e-22 1.509513e-05) (-7.475415e-26 -1.210516e-24 7.991512e-08) (0.000000e+00 0.000000e+00 0.000000e+00))
11.25         	((1.284829e-01 3.590422e-05 3.387807e-22) (3.640080e-02 -1.126226e-07 -1.341192e-24) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.769308e-23 1.658046e-22 3.087274e-06) (-7.474358e-26 -1.210119e-24 5.735285e-08) (0.000000e+00 0.000000e+00 0.000000e+00))
11.5          	((1.284753e-01 7.204104e-05 3.387910e-22) (3.640078e-02 -4.405648e-08 -1.341191e-24) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.769368e-23 1.657962e-22 9.787717e-06) (-7.472981e-26 -1.210150e-24 7.173195e-08) (0.000000e+00 0.000000e+00 0.000000e+00))
11.75         	((1.284690e-01 8.305909e-05 3.387848e-22) (3.640072e-02 -4.047136e-08 -1.341100e-24) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.769410e-23 1.657965e-22 8.260612e-06) (-7.472414e-26 -1.210205e-24 5.563749e-08) (0.000000e+00 0.000000e+00 0.000000e+00))
12            	((1.284635e-01 6.548767e-05 3.387780e-22) (3.640064e-02 -5.464375e-08 -1.341468e-24) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.769440e-23 1.657996e-22 2.976481e-06) (-7.471813e-26 -1.210027e-24 4.471433e-08) (0.000000e+00 0.000000e+00 0.000000e+00))
12.25         	((1.284590e-01 8.033822e-05 3.387831e-22) (3.640053e-02 -2.538488e-08 -1.341510e-24) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.769462e-23 1.657968e-22 5.627448e-06) (-7.471096e-26 -1.210025e-24 5.017415e-08) (0.000000e+00 0.000000e+00 0.000000e+00))
12.5          	((1.284554e-01 8.542292e-05 3.387820e-22) (3.640060e-02 -2.296138e-08 -1.342071e-24) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.769477e-23 1.657976e-22 5.058922e-06) (-7.471695e-26 -1.210285e-24 5.128585e-08) (0.000000e+00 0.000000e+00 0.000000e+00))
12.75         	((1.284526e-01 7.854857e-05 3.387797e-22) (3.640050e-02 -2.829377e-08 -1.341958e-24) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.769478e-23 1.657994e-22 3.013870e-06) (-7.469242e-26 -1.210013e-24 4.649906e-08) (0.000000e+00 0.000000e+00 0.000000e+00))
13            	((1.284502e-01 8.299250e-05 3.387820e-22) (3.640039e-02 -1.781661e-08 -1.342012e-24) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.769482e-23 1.657990e-22 3.796560e-06) (-7.468890e-26 -1.209998e-24 4.845861e-08) (0.000000e+00 0.000000e+00 0.000000e+00))
13.25         	((1.284480e-01 8.632523e-05 3.387824e-22) (3.640028e-02 -1.457094e-08 -1.342020e-24) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.769484e-23 1.657993e-22 3.918207e-06) (-7.468668e-26 -1.210003e-24 4.666251e-08) (0.000000e+00 0.000000e+00 0.000000e+00))
13.5          	((1.284483e-01 9.029458e-05 3.387793e-22) (3.639534e-02 -1.170827e-07 -1.388091e-24) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.769487e-23 1.658005e-22 4.656704e-06) (-7.388308e-26 -1.210139e-24 -1.506916e-07) (0.000000e+00 0.000000e+00 0.000000e+00))
13.75         	((1.284487e-01 1.094545e-04 3.387883e-22) (3.639545e-02 -8.498228e-08 -1.387917e-24) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.769491e-23 1.657977e-22 9.364391e-06) (-7.386670e-26 -1.209983e-24 -1.336147e-07) (0.000000e+00 0.000000e+00 0.000000e+00))
14            	((1.284473e-01 1.398785e-04 3.387938e-22) (3.639538e-02 -5.520405e-08 -1.387632e-24) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.769492e-23 1.657937e-22 1.424423e-05) (-7.386397e-26 -1.210135e-24 -1.299176e-07) (0.000000e+00 0.000000e+00 0.000000e+00))
